Name,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"CRCW0402100RFKEDC","RES 100 OHM 1% 1/16W 0402","R6","FP-CRCW0402-C-e3-IPC_C","CMP-02407-011580-1","1","C844713"
"RC0402FR-0751RL","","R7","RESC1005X40X25ML05T10","CMP-1011-00364-2","1","C137960"
"0402WGF1003TCE","Resistor","R8","RESC1005X40N","0402WGF1003TCE","1","C25741"
"CR0402AFX-1002GAS","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C","R9, R10, R13","FP-CR0402-MFG","CMP-07231-005993-1","3","C2091111"
"AF0402FR-0722KL","Anti-Sulfurated Chip Resistors Automotive Grade 22kO 1% 100ppm/°C 0402","R11, R12","FP-AF0402-IPC_C","CMP-03412-041068-1","2","C4230864"
"CRCW0402330RFKED","RES Thick Film, 330O, 1%, 0.063W, 100ppm/°C, 0402","R14, R15, R16","FP-CRCW0402-e3-MFG","CMP-2002-08523-2","3","C71626"
"Si5351A-B-GT","I2C-Programmable Any-Frequency CMOS Clock Generator + VCXO, 2.5 / 3.3 V, 0.008 to 160 MHz Output, -40 to 85 degC, 10-pin SOP","U1","SLAB-MSOP-10_N","CMP-0510-00012-1","1","C529366"
"SN74LVC1G86DBVR","IC GATE XOR 1CH 2-INP SOT23-5","U2","FP-DBV0005A-MFG","CMP-0859-00174-4","1","C402161"
"ADL5602ARKZ-R7","IC AMP CELLULAR 50MHZ-4GHZ SOT89","U3","FP-RK-3-MFG","CMP-09142-000120-1","1","C496494"
"MCP6022-I/SN","None","U5","SOIC-SN8_N","CMP-0187-00284-3","1","C34047"
"ABM8G-25.000MHZ-B4Y-T","Crystal 25MHz ±30ppm (Tol) ±30ppm (Stability) 10pF FUND 60? 4-Pin SMD T/R","Y1","FP-ABM8G-MFG","CMP-27762-000021-2","1","C596913"
